ticker,event_date,last_observed_session,event_type,entry_level,episode_start,weekly_rsi,adjusted_close
AVGO,2017-03-24,2017-03-24,EXTREME_DECELERATION,75,2017-03-03,71.41720696842125,17.00949287
AVGO,2017-04-14,2017-04-13,COOLING_EXIT,75,2017-03-03,62.80112387073682,16.41524315
AVGO,2017-05-26,2017-05-26,EXTREME_ENTRY,75,2017-05-26,75.60574957438229,18.73708534
AVGO,2017-06-02,2017-06-02,EXTREME_PERSISTENCE,75,2017-05-26,79.822314202025,19.77177429
AVGO,2017-06-09,2017-06-09,COOLING_EXIT,75,2017-05-26,69.0278199992529,18.90254974
AVGO,2021-01-08,2021-01-08,EXTREME_ENTRY,75,2021-01-08,75.9147181948428,39.94296265
AVGO,2021-01-15,2021-01-15,EXTREME_PERSISTENCE,75,2021-01-08,75.95035453391543,39.96179199
AVGO,2021-02-26,2021-02-26,COOLING_EXIT,75,2021-01-08,68.67003608226565,42.11471558
AVGO,2021-11-05,2021-11-05,EXTREME_ENTRY,75,2021-11-05,76.38063131472983,51.25601959
AVGO,2021-11-12,2021-11-12,EXTREME_PERSISTENCE,75,2021-11-05,77.10473347552771,51.65034866
AVGO,2021-11-26,2021-11-26,COOLING_EXIT,75,2021-11-05,66.3782441021406,50.12528992
AVGO,2021-12-10,2021-12-10,EXTREME_ENTRY,75,2021-12-10,79.74045906023801,57.92851639
AVGO,2021-12-17,2021-12-17,EXTREME_ESCALATION,80,2021-12-10,80.07244054518384,58.22930908
AVGO,2021-12-17,2021-12-17,EXTREME_PERSISTENCE,80,2021-12-10,80.07244054518384,58.22930908
AVGO,2022-01-07,2022-01-07,COOLING_EXIT,80,2021-12-10,66.85077977091434,57.14265823
AVGO,2023-05-26,2023-05-26,EXTREME_ENTRY,75,2023-05-26,82.54610920205049,77.97818756
AVGO,2023-06-02,2023-06-02,EXTREME_PERSISTENCE,75,2023-05-26,82.35052760791092,77.90813446
AVGO,2023-06-09,2023-06-09,EXTREME_DECELERATION,75,2023-05-26,80.28002228206061,77.20005798
AVGO,2023-08-11,2023-08-11,COOLING_EXIT,75,2023-05-26,62.071120175340035,80.03627777
AVGO,2023-12-15,2023-12-15,EXTREME_ENTRY,75,2023-12-15,76.78846571504432,109.5649948
AVGO,2023-12-22,2023-12-22,EXTREME_PERSISTENCE,75,2023-12-15,76.37298207536486,109.3127594
AVGO,2023-12-29,2023-12-29,EXTREME_DECELERATION,75,2023-12-15,75.40056598952538,108.7544937
AVGO,2024-01-05,2024-01-05,COOLING_EXIT,75,2023-12-15,64.98598663348483,102.2297134
AVGO,2024-02-09,2024-02-09,EXTREME_ENTRY,75,2024-02-09,77.4393527661316,125.0435333
AVGO,2024-03-01,2024-03-01,EXTREME_PERSISTENCE,75,2024-02-09,78.8157441991579,136.3189392
AVGO,2024-03-08,2024-03-08,COOLING_EXIT,75,2024-02-09,68.08534495598468,127.5065384
AVGO,2025-08-08,2025-08-08,EXTREME_ENTRY,75,2025-08-08,75.53912018063096,302.7517395
AVGO,2025-08-15,2025-08-15,EXTREME_PERSISTENCE,75,2025-08-08,75.80067578369861,304.1117249
AVGO,2025-08-22,2025-08-22,COOLING_EXIT,75,2025-08-08,68.67710066170653,291.8615112
AVGO,2025-09-05,2025-09-05,EXTREME_ENTRY,75,2025-09-05,76.95183821046311,332.4541016
AVGO,2025-09-12,2025-09-12,EXTREME_ESCALATION,80,2025-09-05,80.38180718927694,357.2523804
