ticker,universe_role,signal_date,HERD_STATE,ticker_year_ordinal,sparse_eligible,sale_date,outcome_end,sale_adjusted_open,base_absolute_available,base_absolute_share_delta_rate,base_absolute_time_to_reentry_sessions,base_constrained_available,base_constrained_share_delta_rate,base_constrained_time_to_reentry_sessions,base_days_at_or_above_minimum_delta,stress_absolute_available,stress_absolute_share_delta_rate,stress_absolute_time_to_reentry_sessions,stress_constrained_available,stress_constrained_share_delta_rate,stress_constrained_time_to_reentry_sessions,stress_days_at_or_above_minimum_delta
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2025-07-11,84.9867724867725,1,True,2025-07-14,2026-01-12,97.55340755560344,True,0.03743792620269648,82,False,0.0,,1,True,0.0332964558854727,82,False,0.0,,1
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2025-09-12,79.51388888888889,2,True,2025-09-15,2026-03-17,105.31663413990505,True,0.11999645378328316,38,False,0.0,,6,True,0.11552540838231429,38,False,0.0,,5
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2025-10-03,79.47255291005291,3,False,2025-10-06,2026-04-08,114.66204117891692,True,0.21938078018465923,23,True,0.21938078018465923,23.0,24,True,0.21451299081723918,23,True,0.21451299081723918,23.0,22
TPR,INDEPENDENT_CURRENT_CONSTITUENTS,2025-10-17,78.60449735449735,4,False,2025-10-20,2026-04-22,116.5846434895771,True,0.23982681691532837,13,True,0.23982681691532837,13.0,26,True,0.23487740661224943,13,True,0.23487740661224943,13.0,26
TRGP,INDEPENDENT_CURRENT_CONSTITUENTS,2013-12-27,82.03968299938354,1,True,2013-12-30,2014-07-01,49.922008545214936,True,0.01268155379060354,5,False,0.0,,0,True,0.008638911344346578,5,False,0.0,,0
TRGP,INDEPENDENT_CURRENT_CONSTITUENTS,2014-04-18,83.18872318444079,1,True,2014-04-21,2014-10-17,61.34314108446821,True,0.0007093032344664962,5,False,0.0,,0,False,0.0,5,False,0.0,,0
TRGP,INDEPENDENT_CURRENT_CONSTITUENTS,2016-08-19,75.91765873015872,1,True,2016-08-22,2017-02-22,28.661650700937873,True,0.020618765545438622,3,False,0.0,,0,True,0.016544437611256013,3,False,0.0,,0
TRGP,INDEPENDENT_CURRENT_CONSTITUENTS,2016-09-09,76.5625,2,True,2016-09-12,2017-03-14,30.273128825179743,True,0.02994624571856419,37,False,0.0,,0,True,0.025834682320653446,37,False,0.0,,0
TRGP,INDEPENDENT_CURRENT_CONSTITUENTS,2016-09-23,75.30588624338624,3,False,2016-09-26,2017-03-28,31.599440018912542,True,0.07506973601017264,27,True,0.03538543716498732,25.0,5,True,0.0707780388510677,27,True,0.03125216041984258,25.0,5
TRGP,INDEPENDENT_CURRENT_CONSTITUENTS,2016-12-09,77.1494708994709,4,False,2016-12-12,2017-06-14,37.08611741662822,True,0.20722279819627398,122,False,0.0,,27,True,0.20240354370525493,122,False,0.0,,24
TRGP,INDEPENDENT_CURRENT_CONSTITUENTS,2018-01-12,77.09986772486772,1,True,2018-01-16,2018-07-17,37.718163029445655,True,0.19513817490359897,54,True,0.19513817490359897,54.0,82,True,0.1903671624397869,54,True,0.1903671624397869,54.0,78
TRGP,INDEPENDENT_CURRENT_CONSTITUENTS,2018-06-08,75.16534391534393,2,True,2018-06-11,2018-12-10,37.3022258497059,True,0.0760757636204259,126,False,0.0,,13,True,0.07178005038153357,126,False,0.0,,13
TRGP,INDEPENDENT_CURRENT_CONSTITUENTS,2018-08-03,75.22321428571429,3,False,2018-08-06,2019-02-06,39.92055060056919,True,0.47609387264801195,98,False,0.0,,56,True,0.47020128013273355,98,False,0.0,,56
TRGP,INDEPENDENT_CURRENT_CONSTITUENTS,2018-08-24,80.6630291005291,4,False,2018-08-27,2019-02-28,42.83141341454137,True,0.5837253230960433,83,True,0.5837253230960433,83.0,84,True,0.5774030639511072,83,True,0.5774030639511072,83.0,84
TRGP,INDEPENDENT_CURRENT_CONSTITUENTS,2018-09-14,76.52116402116403,5,False,2018-09-17,2019-03-20,42.538792514406644,True,0.5729054343119575,69,True,0.5729054343119575,69.0,96,True,0.5666263683519854,69,True,0.5666263683519854,69.0,96
TRGP,INDEPENDENT_CURRENT_CONSTITUENTS,2020-12-11,77.05853174603175,1,True,2020-12-14,2021-06-16,25.7109571517781,True,0.10270075797173428,10,True,0.10270075797173428,10.0,15,True,0.09829875729046367,10,True,0.09829875729046367,10.0,14
TRGP,INDEPENDENT_CURRENT_CONSTITUENTS,2020-12-25,76.3475529100529,2,True,2020-12-28,2021-06-29,23.90966642857841,True,0.025446354953043704,1,False,0.0,,0,True,0.021352755197646234,1,False,0.0,,0
TRGP,INDEPENDENT_CURRENT_CONSTITUENTS,2021-10-01,80.57208994708995,1,True,2021-10-04,2022-04-04,46.262410966404694,True,0.04458804987944398,54,False,0.0,,1,True,0.040418036143646585,54,False,0.0,,1
TRGP,INDEPENDENT_CURRENT_CONSTITUENTS,2022-02-04,77.69510582010582,1,True,2022-02-07,2022-08-09,55.8243031000141,True,0.06915370017413758,108,False,0.0,,6,True,0.06488561993339648,108,False,0.0,,6
