ticker,episode_id,signal_date,sector_etf,fold_id,path_label,damage_triggered,damage_execution_date,scheduled_execution_date,outcome_end,uplift_vs_buy_hold_base,uplift_vs_buy_hold_stress,triggered_trough_improvement_base,triggered_trough_improvement_stress,research_use,direction_label,operational_action_ratio
PNC,PNC-V61-006,2021-04-23,XLF,F02,TEMPORARY_PULLBACK,True,2021-06-15,2021-05-25,2021-10-21,-0.00802267859436,-0.00810153726747,0.00241215163766,0.00233329296455,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
TRV,TRV-V61-002,2021-04-23,XLF,F02,TEMPORARY_PULLBACK,True,2021-06-15,2021-05-25,2021-10-21,-0.00237126468511,-0.00244478894784,0.00282852645478,0.00275500219206,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
MAS,MAS-V61-006,2021-04-28,XLI,F02,TEMPORARY_PULLBACK,True,2021-05-19,2021-05-28,2021-10-26,-0.000664401350708,-0.000735650761595,0.00408344915477,0.00401219974389,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
REG,REG-V61-003,2021-04-29,XLRE,F02,RESUMED_UPTREND,True,2021-07-08,2021-06-01,2021-10-27,-0.00725364241843,-0.00732808965437,0.000488362899033,0.000413915663091,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
USB,USB-V61-002,2021-04-29,XLF,F02,TEMPORARY_PULLBACK,True,2021-06-11,2021-06-01,2021-10-27,-0.00208000588202,-0.00215344416102,0.0032915461707,0.0032181078917,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
CCI,CCI-V61-008,2021-04-30,XLRE,F02,TEMPORARY_PULLBACK,True,2021-07-23,2021-06-02,2021-10-28,0.00258163134317,0.00250448850507,0.0063593571684,0.00628221433029,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
YUM,YUM-V61-007,2021-05-04,XLY,F02,RESUMED_UPTREND,True,2021-06-18,2021-06-04,2021-11-01,-0.00481847690248,-0.00489148659185,0.000881784546763,0.000808774857397,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
CINF,CINF-V61-004,2021-05-05,XLF,F02,TEMPORARY_PULLBACK,True,2021-07-09,2021-06-07,2021-11-02,-0.00348116451504,-0.0035556450847,0.00101888064958,0.000944400079917,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
WFC,WFC-V61-002,2021-05-05,XLF,F02,RESUMED_UPTREND,True,2021-06-18,2021-06-07,2021-11-02,-0.0108047535184,-0.0108729472412,-0.000144545920915,-0.000212739643757,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
FRT,FRT-V61-002,2021-05-06,XLRE,F02,TEMPORARY_PULLBACK,True,2021-07-08,2021-06-08,2021-11-03,-0.00727591637737,-0.00735119532233,0.00164604121904,0.00157076227407,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
NTRS,NTRS-V61-003,2021-05-06,XLF,F02,TEMPORARY_PULLBACK,True,2021-06-18,2021-06-08,2021-11-03,-0.0062079884848,-0.00627849294811,0.0024137626513,0.002343258188,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
WRB,WRB-V61-004,2021-05-06,XLF,F02,TEMPORARY_PULLBACK,True,2021-05-26,2021-06-08,2021-11-03,-0.00325711018395,-0.00332879930544,0.00307143299599,0.0029997438745,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
LII,LII-V61-002,2021-05-10,XLI,F02,TEMPORARY_PULLBACK,True,2021-06-15,2021-06-10,2021-11-05,0.00428243688413,0.00421142548012,0.00542191965129,0.00535090824727,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
APA,APA-V61-006,2021-05-12,XLE,F02,LARGE_PULLBACK,True,2021-07-07,2021-06-14,2021-11-09,-0.0224158419066,-0.0224892446565,0.0109469218545,0.0108735191045,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
KEY,KEY-V61-003,2021-05-12,XLF,F02,LARGE_PULLBACK,True,2021-06-15,2021-06-14,2021-11-09,-0.00546119404306,-0.00553428411179,0.0068264661715,0.00675337610277,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
ALL,ALL-V61-003,2021-05-13,XLF,F02,TEMPORARY_PULLBACK,True,2021-06-18,2021-06-15,2021-11-10,0.00374726306646,0.00367856836131,0.00374726306646,0.00367856836131,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
DVA,DVA-V61-004,2021-05-13,XLV,F02,TEMPORARY_PULLBACK,True,2021-07-16,2021-06-15,2021-11-10,0.00536757453732,0.00529605238617,0.00662214160886,0.00655061945771,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
EQT,EQT-V61-002,2021-05-13,XLE,F02,LARGE_PULLBACK,True,2021-06-21,2021-06-15,2021-11-10,-0.000692859099188,-0.00076506615844,0.0078721885582,0.00779998149895,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
ITW,ITW-V61-005,2021-05-13,XLI,F02,TEMPORARY_PULLBACK,True,2021-06-17,2021-06-15,2021-11-10,-0.00199679608875,-0.00206869144413,0.00396771912712,0.00389582377173,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
TJX,TJX-V61-004,2021-05-13,XLY,F02,RESUMED_UPTREND,True,2021-05-25,2021-06-15,2021-11-10,-0.00186935821035,-0.00194014806059,0.00255259619113,0.00248180634089,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
UHS,UHS-V61-001,2021-05-13,XLV,F02,TEMPORARY_PULLBACK,True,2021-06-18,2021-06-15,2021-11-10,0.00637647785522,0.00630519365319,0.00842118081908,0.00834989661705,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
APO,APO-V61-006,2021-05-18,XLF,F02,RESUMED_UPTREND,True,2021-07-19,2021-06-18,2021-11-15,-0.018712713849,-0.0187866649979,-0.00052535702774,-0.000599308176624,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
PKG,PKG-V61-002,2021-05-18,XLB,F02,TEMPORARY_PULLBACK,True,2021-06-08,2021-06-18,2021-11-15,0.00242717567376,0.00235608801585,0.00381477153752,0.00374368387961,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
BKR,BKR-V61-003,2021-05-19,XLE,F02,LARGE_PULLBACK,True,2021-06-21,2021-06-21,2021-11-16,-0.00539746421526,-0.00546617080032,0.00651754463149,0.00644883804643,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
CVS,CVS-V61-002,2021-05-19,XLV,F02,TEMPORARY_PULLBACK,True,2021-07-02,2021-06-21,2021-11-16,-0.00670260336008,-0.00677167634193,0.00101826036866,0.000949187386813,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
MDLZ,MDLZ-V61-005,2021-05-20,XLP,F02,TEMPORARY_PULLBACK,True,2021-08-05,2021-06-22,2021-11-17,-0.000530192094135,-0.000604206275928,0.0027539575398,0.00267994335801,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
AIG,AIG-V61-001,2021-05-24,XLF,F02,RESUMED_UPTREND,True,2021-06-18,2021-06-24,2021-11-19,-0.00726979703592,-0.00733939926828,0.00282988640388,0.00276028417153,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
C,C-V61-005,2021-05-25,XLF,F02,TEMPORARY_PULLBACK,True,2021-06-16,2021-06-25,2021-11-22,0.00298317131497,0.00291256766256,0.00489187631259,0.00482127266018,DISCOVERY_TARGET_DEFINITION_ONLY_NOT_OOS,NONE,0
