evaluation_id,event_id,accession_number,cik,filing_date,matched_items,primary_document_url,collection_status
STRUCTURAL-EVAL-0001001250-25-000009,SEC8K-0001001250-25-000009,0001001250-25-000009,0001001250,2025-02-04,2.05,https://www.sec.gov/Archives/edgar/data/1001250/000100125025000009/el-20250203.htm,PENDING
STRUCTURAL-EVAL-0001327811-25-000030,SEC8K-0001327811-25-000030,0001327811-25-000030,0001327811,2025-02-05,2.05|2.06,https://www.sec.gov/Archives/edgar/data/1327811/000132781125000030/wday-20250205.htm,PENDING
STRUCTURAL-EVAL-0001193125-25-026087,SEC8K-0001193125-25-026087,0001193125-25-026087,0000051434,2025-02-13,2.05|2.06,https://www.sec.gov/Archives/edgar/data/51434/000119312525026087/d894584d8k.htm,PENDING
STRUCTURAL-EVAL-0001193125-25-028035,SEC8K-0001193125-25-028035,0001193125-25-028035,0000092380,2025-02-18,2.05,https://www.sec.gov/Archives/edgar/data/92380/000119312525028035/d907526d8k.htm,PENDING
STRUCTURAL-EVAL-0001193125-25-033509,SEC8K-0001193125-25-033509,0001193125-25-033509,0000002969,2025-02-24,2.06,https://www.sec.gov/Archives/edgar/data/2969/000119312525033509/d830166d8k.htm,PENDING
STRUCTURAL-EVAL-0001193125-25-035138,SEC8K-0001193125-25-035138,0001193125-25-035138,0001097864,2025-02-25,2.05,https://www.sec.gov/Archives/edgar/data/1097864/000119312525035138/d928094d8k.htm,PENDING
STRUCTURAL-EVAL-0000047217-25-000023,SEC8K-0000047217-25-000023,0000047217-25-000023,0000047217,2025-02-27,2.05,https://www.sec.gov/Archives/edgar/data/47217/000004721725000023/hpq-20250227.htm,PENDING
STRUCTURAL-EVAL-0000769397-25-000013,SEC8K-0000769397-25-000013,0000769397-25-000013,0000769397,2025-02-27,2.05,https://www.sec.gov/Archives/edgar/data/769397/000076939725000013/adsk-20250226.htm,PENDING
STRUCTURAL-EVAL-0000827054-25-000037,SEC8K-0000827054-25-000037,0000827054-25-000037,0000827054,2025-03-03,2.05,https://www.sec.gov/Archives/edgar/data/827054/000082705425000037/mchp-20250303.htm,PENDING
STRUCTURAL-EVAL-0000950103-25-003226,SEC8K-0000950103-25-003226,0000950103-25-003226,0000874761,2025-03-11,4.02,https://www.sec.gov/Archives/edgar/data/874761/000095010325003226/dp226102_8k.htm,PENDING
STRUCTURAL-EVAL-0001193125-25-056735,SEC8K-0001193125-25-056735,0001193125-25-056735,0001097864,2025-03-18,2.06,https://www.sec.gov/Archives/edgar/data/1097864/000119312525056735/d922410d8k.htm,PENDING
STRUCTURAL-EVAL-0000050863-25-000070,SEC8K-0000050863-25-000070,0000050863-25-000070,0000050863,2025-04-24,2.05,https://www.sec.gov/Archives/edgar/data/50863/000005086325000070/intc-20250424.htm,PENDING
STRUCTURAL-EVAL-0000078003-25-000111,SEC8K-0000078003-25-000111,0000078003-25-000111,0000078003,2025-04-29,2.05,https://www.sec.gov/Archives/edgar/data/78003/000007800325000111/pfe-20250429.htm,PENDING
STRUCTURAL-EVAL-0001104659-25-042628,SEC8K-0001104659-25-042628,0001104659-25-042628,0002005951,2025-04-30,2.05|2.06,https://www.sec.gov/Archives/edgar/data/2005951/000110465925042628/tm2513671d1_8k.htm,PENDING
STRUCTURAL-EVAL-0001069183-25-000074,SEC8K-0001069183-25-000074,0001069183-25-000074,0001069183,2025-05-07,4.02,https://www.sec.gov/Archives/edgar/data/1069183/000106918325000074/axon-20250501.htm,PENDING
