atomicTransactionIdV1,accessionNumber,transactionDateMatch,transactionCodeMatch,transactionSharesMatch,transactionPricePerShareMatch,acquiredDisposedCodeMatch,sharesOwnedFollowingTransactionMatch,directOrIndirectOwnershipMatch,isDerivativeMatch,exactMatch,bulkCandidateFound
bda5424f3a8776bf6f36aa81ce0fdccb3e13ccafc01984e390fb2cbe76db46ba,0001127602-20-029932,True,True,True,True,True,True,True,True,True,True
82cf45ccebeadcd42020018f20abaee17e8571bfee3ee2ca88014a9ffe64495a,0001209191-18-003295,True,True,True,True,True,True,True,True,True,True
e8080cbafb7ec3be79c81ee5d807328f434d4c9b660986eeb4382851698516ad,0001209191-14-006637,True,True,True,True,True,True,True,True,True,True
34e8e71df19a79aaceaf1bc401d1387d998f1550427776d626facc328192d019,0001209191-14-001258,True,True,True,True,True,True,True,True,True,True
4ef1e941ae1444b23cbded7d0b680540e51212493118916fd61de8353a26f926,0001209191-15-058961,True,True,True,True,True,True,True,True,True,True
c374b9c1074dacf4cbeb79e40397ad682601609ac56ef990522f37e79a07cf34,0001209191-14-001258,True,True,True,True,True,True,True,True,True,True
3c8ac52107af70a9e0b752cdc55bc6610c310a341d1e6a4a9e97b191759a2703,0001045810-13-000039,True,True,True,True,True,True,True,True,True,True
b5f94f673ecc6aa455d225fbff06cd74a74c78a34e34e7d6070aaf436d908ad0,0001045810-15-000139,True,True,True,True,True,True,True,True,True,True
d4f9807d0fa7d4caa25d0f2aa9d0c79a3c91c3a183ec3e1ec404c8ed3bb1aba1,0001045810-20-000071,True,True,True,True,True,True,True,True,True,True
86bac398eeb9536ec19cc75455f96213bd9bff3c7f633a2c1e11f381a7cf0a3f,0001045810-15-000139,True,True,True,True,True,True,True,True,True,True
72b9cc87964ee8a780894bb2c7c97b09322b1397ad7edfbce1bc1ea69a7e0704,0001197649-25-000017,True,True,True,True,True,True,True,True,True,True
9f27e0dd8a0c7c8eb87838b6ec99fdaa2fabf4f3070cf45a37410e9fd03828d0,0001053507-24-000017,True,True,True,True,True,True,True,True,True,True
d0d4df454c4943cf28fb58c28ea02cf447e2e819fc0fe057421ef37e78eb2110,0001053507-26-000050,True,True,True,True,True,True,True,True,True,True
ec5e6e5d758b612777cf2720520d8444deff6b832f8614443d24320f1ef29191,0001338678-16-000090,True,True,True,True,True,True,True,True,True,True
cef12648ba060fa2b8582a600aab3ea653afe3767febe84b476f170f3e490a5a,0001338678-14-000019,True,True,True,True,True,True,True,True,True,True
3c57b948f122418637051239554a50dfa8348bcbc84a5f94e794f2ce3c4046e1,0001338678-12-000003,True,True,True,True,True,True,True,True,True,True
6f1009fafe9b73dfc53a8126f9ecba1897d3b7b9d4ac7131641c9c0c70bbac2c,0001065280-25-000358,True,True,True,True,True,True,True,True,True,True
e4e53bf7f89eae398aa240b3e6ed2b9b043e25bd3c5f6dadc53e33071f59dadd,0001065280-20-000311,True,True,True,True,True,True,True,True,True,True
