ticker,episode_id,signal_date,last_observed_session,sector_etf,damage_date,damage_wait_sessions,damage_triggered,damage_execution_date,damage_execution_price,scheduled_execution_date,scheduled_execution_price,uplift_vs_buy_hold_base,uplift_vs_scheduled_base,triggered_trough_improvement_base,outcome_end,uplift_vs_buy_hold_stress,uplift_vs_scheduled_stress,triggered_trough_improvement_stress,fold_id
ERIE,ERIE-V61-009,2022-11-16,2022-11-16,XLF,2022-12-28,28.0,True,2022-12-29,235.726870276918,2022-12-19,252.275823111536,0.0038569048077086165,-0.003337530378633713,0.0059686808851432405,2023-05-19,0.0037854869219632326,-0.0033325165623413477,0.0058972629993978565,F03
ERIE,ERIE-V61-010,2023-09-06,2023-09-06,XLF,2023-10-27,37.0,True,2023-10-30,262.0433814381312,2023-10-06,289.9213788382735,-0.02663814370857609,-0.005333902585595851,6.026977032247416e-05,2024-03-07,-0.026713461901455293,-0.005325889712407772,-1.504842255650729e-05,F03
ERIE,ERIE-V61-011,2023-12-05,2023-12-05,XLF,,,False,,,2024-01-08,317.64435029387784,0.0,0.005428089035237393,,2024-06-06,0.0,0.005509767620839323,,F03
ERIE,ERIE-V61-012,2024-08-09,2024-08-09,XLF,2024-10-17,48.0,True,2024-10-18,461.0365348320161,2024-09-11,489.7101783965542,0.008590575907582165,-0.003292043919000065,0.010728570723017139,2025-02-11,0.008511058672545646,-0.0032870984348952748,0.01064905348798062,F04
ES,ES-V61-001,2016-03-14,2016-03-14,XLU,2016-04-20,26.0,True,2016-04-21,38.77580468631039,2016-04-14,39.174684364546955,0.0005006388169167542,-0.0005015312890255252,0.001442435445039858,2016-09-12,0.0004273968277491713,-0.0005007778619513514,0.0013691934558722751,F01
ES,ES-V61-002,2017-05-30,2017-05-30,XLU,2017-07-10,28.0,True,2017-07-11,43.71196762662058,2017-06-29,44.48447440247701,-0.004083014173902333,-0.0008607810610925526,5.695337103173159e-05,2017-11-27,-0.004156184324944245,-0.0008594879498340369,-1.6216780010180898e-05,F01
ES,ES-V61-003,2017-12-04,2017-12-04,XLU,2018-02-01,40.0,True,2018-02-02,43.19394020731471,2018-01-05,45.75346521299297,0.0028512487408361986,-0.0026575449608805535,0.0028512487408361986,2018-06-06,0.0027838755282445504,-0.002653552654980351,0.0027838755282445504,F01
ES,ES-V61-004,2018-12-13,2018-12-13,XLU,,,False,,,2019-01-16,50.63479531775522,0.0,0.008271551299244395,,2019-06-17,0.0,0.008342784529824954,,F01
ES,ES-V61-005,2019-02-21,2019-02-21,XLU,2019-04-18,40.0,True,2019-04-22,53.84645174903515,2019-03-25,55.264282575441186,-0.007405676407251871,-0.0013125285159640843,0.000846682171184665,2019-08-21,-0.0074805596449223355,-0.0013105567655644634,0.0007717989335142006,F02
ES,ES-V61-006,2019-05-22,2019-05-22,XLU,,,False,,,2019-06-24,60.41068491250654,0.0,0.003402243832949292,,2019-11-19,0.0,0.0034814037099599737,,F02
ES,ES-V61-007,2020-01-22,2020-01-22,XLU,,,False,,,2020-02-24,75.37613235604437,0.0,-0.0027251730883590675,,2020-07-22,0.0,-0.002645237037897319,,F02
ESS,ESS-V61-001,2017-05-30,2017-05-30,XLRE,2017-07-06,26.0,True,2017-07-07,187.81249892897534,2017-06-29,191.2281983816686,0.0009572026492835617,-0.0009119288107506396,0.0009572026492835617,2017-11-27,0.0008818759448041558,-0.0009105588626123762,0.0008818759448041558,F01
ESS,ESS-V61-002,2019-02-27,2019-02-27,XLRE,2019-04-16,34.0,True,2019-04-17,217.14400221547393,2019-03-29,225.74171664290031,-0.00757284709991457,-0.001986441364459246,0.0007700498191022254,2019-08-27,-0.007648214539613063,-0.0019834572262051875,0.0006946823794038437,F02
ESS,ESS-V61-003,2019-05-29,2019-05-29,XLRE,,,False,,,2019-06-28,226.10501989482964,0.0,0.004168050826502956,,2019-11-25,0.0,0.004244498315359335,,F02
ESS,ESS-V61-004,2021-06-10,2021-06-10,XLRE,2021-08-11,43.0,True,2021-08-12,263.7893389359367,2021-07-13,270.2730347311188,-0.00565070749958041,-0.0012437421689708295,0.0026507777967071933,2021-12-08,-0.005726724050123755,-0.001241873753093481,0.002574761246163626,F02
ESS,ESS-V61-005,2021-11-08,2021-11-08,XLRE,2021-12-01,16.0,True,2021-12-02,277.10822571458687,2021-12-09,292.7733117431507,0.00582625640636647,-0.0027509936480524244,0.00582625640636647,2022-05-10,0.005753151014257996,-0.00274686095854626,0.005753151014257996,F02
ESS,ESS-V61-006,2024-09-05,2024-09-05,XLRE,2024-10-03,20.0,True,2024-10-04,270.66634466520435,2024-10-07,270.08547380210877,-0.0022108661707547217,0.00010335142306328038,0.0026825795675107234,2025-03-10,-0.0022832121361140434,0.00010319616303866574,0.0026102336021514017,F04
ETN,ETN-V61-001,2017-02-15,2017-02-15,XLI,,,False,,,2017-03-20,60.65643360352483,0.0,0.0004729313138185365,,2017-08-16,0.0,0.0005497779026786276,,F01
