signal_date,ticker,state,horizon_months,outcome_end,forward_return,forward_trough_return,fold_id,group
2022-10-31,CAT,EXTENDING_RUSH,1,2022-11-30,0.0921645869221,-0.00887034617528,F03,CONTROL
2023-03-31,CAT,BREAKING_RUSH,1,2023-04-30,-0.0386834972517,-0.0859552845224,F03,TREATMENT
2022-10-31,CAT,EXTENDING_RUSH,3,2023-01-31,0.171085273719,-0.00887034617528,F03,CONTROL
2023-03-31,CAT,BREAKING_RUSH,3,2023-06-30,0.0810415681649,-0.0960198004744,F03,TREATMENT
2022-10-31,NEE,BREAKING_RUSH,3,2023-01-31,-0.0321417206629,-0.0321417206629,F03,TREATMENT
2022-10-31,PEP,EXTENDING_RUSH,3,2023-01-31,-0.0522812403577,-0.0628103799114,F03,CONTROL
2023-03-31,PEP,HEALTHY_RUSH,3,2023-06-30,0.0231152201065,-0.00511124979389,F03,CONTROL
2022-10-31,SO,BREAKING_RUSH,3,2023-01-31,0.0445389586063,-0.0323763005933,F03,TREATMENT
2022-10-31,CAT,EXTENDING_RUSH,6,2023-04-30,0.0211437775969,-0.0290699566824,F03,CONTROL
2022-10-31,NEE,BREAKING_RUSH,6,2023-04-30,0.000215273848498,-0.0880197915968,F03,TREATMENT
2022-10-31,PEP,EXTENDING_RUSH,6,2023-04-30,0.0649778860362,-0.0628103799114,F03,CONTROL
2022-10-31,SO,BREAKING_RUSH,6,2023-04-30,0.146975727512,-0.0323763005933,F03,TREATMENT
2022-11-30,HON,EXTENDING_RUSH,3,2023-02-28,-0.123233004952,-0.123233004952,F03,CONTROL
2022-11-30,GS,EXTENDING_RUSH,1,2022-12-31,-0.110759989161,-0.117260266012,F03,CONTROL
2023-02-28,GS,BREAKING_RUSH,1,2023-03-31,-0.0631247673619,-0.130631510399,F03,TREATMENT
2022-11-30,HON,EXTENDING_RUSH,6,2023-05-31,-0.118080391469,-0.154552553375,F03,CONTROL
2022-11-30,GS,EXTENDING_RUSH,6,2023-05-31,-0.148768312324,-0.208303979149,F03,CONTROL
2022-11-30,APD,EXTENDING_RUSH,6,2023-05-31,-0.122224953638,-0.134846787718,F03,CONTROL
2022-11-30,APD,EXTENDING_RUSH,1,2022-12-31,-0.000928450622124,-0.00167642632946,F03,CONTROL
2023-02-28,APD,BREAKING_RUSH,1,2023-03-31,0.0106237045332,-0.06657804451,F03,TREATMENT
2022-11-30,APD,EXTENDING_RUSH,3,2023-02-28,-0.0731381373735,-0.100589270223,F03,CONTROL
2022-11-30,GS,EXTENDING_RUSH,3,2023-02-28,-0.0893435518758,-0.117260266012,F03,CONTROL
