ticker,hypothesis_id,threshold,signal_date,fold_id,label,signal_price,signal_volatility,pullback_threshold,continuation_threshold,structural_threshold,mfe,mae,time_to_high_days,time_to_low_days,low_before_high,recovery_after_low,terminal_return,gross_oracle_opportunity,outcome_end
NEE,PROFIT_TREND_DECELERATION_V2,0.8,2022-08-31,F07,TRADABLE_PULLBACK,76.47263336,0.2822532111050774,0.12221922555836452,0.21168990832880805,0.3528165138813467,0.067599375526461,-0.16952744976062373,7,35,False,True,-0.12198110801398465,0.20413371846156614,2023-03-03
NEE,PROFIT_TREND_DECELERATION_V2,0.8,2022-12-31,F07,NOISE,75.54173279,0.31218483145681675,0.1351799973588833,0.23413862359261256,0.39023103932102093,0.025598283737753746,-0.1588356239240034,10,40,False,False,-0.09188664720329087,0.18882828189297096,2023-07-05
NEE,PROFIT_TREND_DECELERATION_V2,0.9,2022-08-31,F07,TRADABLE_PULLBACK,76.47263336,0.2822532111050774,0.12221922555836452,0.21168990832880805,0.3528165138813467,0.067599375526461,-0.16952744976062373,7,35,False,True,-0.12198110801398465,0.20413371846156614,2023-03-03
NEE,PROFIT_RELATIVE_BREAK_V2,0.8,2022-10-31,F07,NOISE,69.6758728,0.30337189381657875,0.13136388341967623,0.22752892036243405,0.37921486727072345,0.1302271784387321,-0.08801982700100452,30,82,False,True,-0.01596989926762704,0.09651506645320618,2023-05-03
NEE,PROFIT_RELATIVE_BREAK_V2,0.8,2023-01-31,F07,NOISE,67.43637085,0.2892328466789303,0.12524149641642163,0.21692463500919773,0.36154105834866285,0.06593264856867664,-0.0577337758679225,57,20,True,True,-0.023998814283761383,0.06127119320349306,2023-08-02
NEE,PROFIT_RELATIVE_BREAK_V2,0.9,2022-10-31,F07,NOISE,69.6758728,0.30337189381657875,0.13136388341967623,0.22752892036243405,0.37921486727072345,0.1302271784387321,-0.08801982700100452,30,82,False,True,-0.01596989926762704,0.09651506645320618,2023-05-03
NEE,PROFIT_RELATIVE_BREAK_V2,0.9,2023-01-31,F07,NOISE,67.43637085,0.2892328466789303,0.12524149641642163,0.21692463500919773,0.36154105834866285,0.06593264856867664,-0.0577337758679225,57,20,True,True,-0.023998814283761383,0.06127119320349306,2023-08-02
NEE,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2022-09-30,F07,NOISE,70.49401093,0.23833506620258788,0.10320211097204354,0.17875129965194092,0.29791883275323483,0.11711000808561867,-0.09909477397926236,51,14,True,True,-0.010877085867073033,0.10999467104543292,2023-04-03
NEE,PROFIT_DOWNSIDE_EXPANSION_V2,0.8,2023-01-31,F07,NOISE,67.43637085,0.2892328466789303,0.12524149641642163,0.21692463500919773,0.36154105834866285,0.06593264856867664,-0.0577337758679225,57,20,True,True,-0.023998814283761383,0.06127119320349306,2023-08-02
NEE,PROFIT_DOWNSIDE_EXPANSION_V2,0.9,2022-10-31,F07,NOISE,69.6758728,0.30337189381657875,0.13136388341967623,0.22752892036243405,0.37921486727072345,0.1302271784387321,-0.08801982700100452,30,82,False,True,-0.01596989926762704,0.09651506645320618,2023-05-03
