queue_id,priority,event_id,cik,accession_number,filing_date,matched_items,prior_identity_status,primary_document_url,collection_status,source_sha256,extracted_symbols,adjudication_status
IDENTITY-0001299933-09-004657,P2_LONG_HISTORY,SEC8K-0001299933-09-004657,0000040704,0001299933-09-004657,2009-11-24,2.05|2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/40704/000129993309004657/htm_35259.htm,PENDING,,,PENDING
IDENTITY-0001193125-09-245508,P2_LONG_HISTORY,SEC8K-0001193125-09-245508,0001109357,0001193125-09-245508,2009-12-02,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1109357/000119312509245508/d8k.htm,PENDING,,,PENDING
IDENTITY-0000950123-09-072317,P2_LONG_HISTORY,SEC8K-0000950123-09-072317,0000898293,0000950123-09-072317,2009-12-21,2.05|2.06,UNMAPPED,https://www.sec.gov/Archives/edgar/data/898293/000095012309072317/g21612e8vkza.htm,PENDING,,,PENDING
IDENTITY-0000950123-10-003025,P2_LONG_HISTORY,SEC8K-0000950123-10-003025,0000813672,0000950123-10-003025,2010-01-15,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/813672/000095012310003025/f54638e8vk.htm,PENDING,,,PENDING
IDENTITY-0001104659-10-002461,P2_LONG_HISTORY,SEC8K-0001104659-10-002461,0001001250,0001104659-10-002461,2010-01-21,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1001250/000110465910002461/a10-2277_18ka.htm,PENDING,,,PENDING
IDENTITY-0001193125-10-026533,P2_LONG_HISTORY,SEC8K-0001193125-10-026533,0001260221,0001193125-10-026533,2010-02-10,4.02,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1260221/000119312510026533/d8k.htm,PENDING,,,PENDING
IDENTITY-0001193125-10-031545,P2_LONG_HISTORY,SEC8K-0001193125-10-031545,0000310158,0001193125-10-031545,2010-02-16,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/310158/000119312510031545/d8k.htm,PENDING,,,PENDING
IDENTITY-0001193125-10-035204,P2_LONG_HISTORY,SEC8K-0001193125-10-035204,0001336920,0001193125-10-035204,2010-02-19,2.04,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1336920/000119312510035204/d8k.htm,PENDING,,,PENDING
IDENTITY-0001193125-10-045957,P2_LONG_HISTORY,SEC8K-0001193125-10-045957,0001109357,0001193125-10-045957,2010-03-02,2.05,UNMAPPED,https://www.sec.gov/Archives/edgar/data/1109357/000119312510045957/d8k.htm,PENDING,,,PENDING
IDENTITY-0001104659-10-015787,P2_LONG_HISTORY,SEC8K-0001104659-10-015787,0000009389,0001104659-10-015787,2010-03-23,2.04,UNMAPPED,https://www.sec.gov/Archives/edgar/data/9389/000110465910015787/a10-6754_18k.htm,PENDING,,,PENDING
